1.2478 3.1416
1.6038 3.1739
1.4678 4.0679
1.3795 4.5221
1.5569 4.5643
1.6252 4.2894
1.2039 4.4686
1.2478 3.1416
1.6038 3.1739
1.2277 4.5183
1.5569 4.5643
1.4047 4.5722
1.2277 4.5183
1.5569 4.5643
1.4047 4.5722
1.3336 3.2086
1.5281 3.0870
1.4781 4.0084
1.3795 4.5221
1.5307 4.5145
1.6517 4.3367
1.2039 4.4686
1.1974 4.3598
1.5717 4.4992
1.3941 4.4534
1.2025 4.4627
1.5307 4.5145
1.3666 4.4178
1.2025 4.4627
1.5307 4.5145
1.3666 4.4178
1.2039 4.4686
1.5343 4.5057
1.3795 4.5221
9.8422 15.4602
1.1789 4.4137
1.5456 4.4504
1.3941 4.4534
9.8422 15.4602
1.1789 4.4137
1.5456 4.4504
1.3941 4.4534
1.1789 4.4137
1.5569 4.5643
1.3941 4.4534
1.4349 3.1807
1.2589 3.1556
1.2883 3.2218
1.6149 3.1880
1.5081 4.0519
1.3795 4.5221
1.5569 4.5643
1.6337 4.4101
1.1803 4.4196
1.4349 3.1807
1.2589 3.1556
1.2883 3.2218
1.6149 3.1880
1.5081 4.0519
1.3795 4.5221
1.5569 4.5643
1.6337 4.4101
1.1803 4.4196
1.5456 4.4504
1.3954 4.4592
1.5456 4.4504
1.3954 4.4592
1.2039 4.4686
1.5569 4.5643
1.3941 4.4534
1.2039 4.4686
1.5569 4.5643
1.3941 4.4534
6.1519 5.5878
6.1044 5.4297
6.1173 5.4829
1.2194 4.4022
1.5307 4.5145
1.3954 4.4592
1.2194 4.4022
1.5307 4.5145
1.3954 4.4592
1.2883 3.2218
1.6149 3.1880
1.2883 3.2218
3.7071 3.5610
6.0841 5.3988
6.0958 5.5621
6.0969 5.4897
5.6725 7.0912
4.8124 7.9113
5.4034 7.6737
1.5456 4.4504
1.5456 4.4504
1.4918 4.1067
1.2025 4.4627
1.5307 4.5145
1.3781 4.5162
1.5456 4.4504
1.5456 4.4504
1.4123 3.1847
1.6872 3.0472
1.3354 3.3448
1.5495 3.1193
1.2025 4.4627
1.6517 4.3367
1.5569 4.5643
1.3781 4.5162
1.2025 4.4627
1.6517 4.3367
1.5569 4.5643
1.3781 4.5162
1.2208 4.4080
1.5569 4.5643
1.3941 4.4534
1.2208 4.4080
1.5569 4.5643
1.3941 4.4534
1.2780 3.2083
1.6149 3.1880
1.2780 3.2083
3.7071 3.5610
1.5717 4.4992
1.2780 3.2083
1.6149 3.1880
9.8422 15.4602
1.5081 4.0519
1.3795 4.5221
1.5307 4.5145
1.6374 4.4018
1.2277 4.5183
1.5081 4.0519
1.3795 4.5221
1.5307 4.5145
1.6374 4.4018
1.2277 4.5183
1.5681 4.5072
1.5681 4.5072
1.4339 3.1741
1.2779 3.2148
1.6149 3.1880
1.4339 3.1741
1.2779 3.2148
1.6149 3.1880
1.4958 4.0986
1.3781 4.5162
1.5307 4.5145
1.6374 4.4018
1.2025 4.4627
1.2677 3.1948
1.6149 3.1880
1.2677 3.1948
1.6149 3.1880
1.2677 3.1948
1.6149 3.1880
1.2039 4.4686
1.5569 4.5643
1.3781 4.5162
1.2025 4.4627
1.5307 4.5145
1.3913 4.4665
1.1994 4.4760
1.5717 4.4992
1.3741 4.5244
1.4349 3.1807
1.2534 3.1556
1.2883 3.2218
1.6149 3.1880
1.2039 4.4686
1.5717 4.4992
1.3941 4.4534
1.4349 3.1807
